"CountryCode","SeriesCode","DESCRIPTION",
"ABW","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ABW","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"AFG","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"AFG","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"AFG","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"AFG","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"AFG","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"AFG","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"AFG","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"AFG","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"AGO","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"AGO","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ALB","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ALB","SP.POP.TOTL","Data sources : Institute of Statistics, Eurostat",
"AND","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"AND","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ARE","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ARE","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ARG","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"ARG","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"ARG","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"ARG","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ARG","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"ARG","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"ARG","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ARG","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"ARM","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ARM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ASM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ASM","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ATG","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ATG","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"AUS","SP.POP.TOTL","Data sources : Australian Bureau of Statistics",
"AUS","SP.POP.1564.TO.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUS","SP.POP.GROW","Data sources: Australian Bureau of Statistics",
"AUS","SP.POP.TOTL.MA.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUS","SP.POP.TOTL.FE.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUS","SP.POP.0014.TO.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUT","SP.POP.GROW","Data sources : Eurostat",
"AUT","SP.POP.TOTL","Data sources : Eurostat",
"AZE","SP.POP.TOTL","Data sources : Eurostat, State Statistical Committee, United Nations World Population Prospects",
"AZE","SP.POP.GROW","Data sources: Eurostat, State Statistical Committee, United Nations World Population Prospects",
"BDI","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BDI","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BEL","SP.POP.TOTL","Data sources : Eurostat",
"BEL","SP.POP.GROW","Data sources : Eurostat",
"BEN","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BEN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BFA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BFA","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BGD","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BGD","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BGR","SP.POP.TOTL","Data sources : Eurostat",
"BGR","SP.POP.GROW","Data sources : Eurostat",
"BHR","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BHR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BHS","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BHS","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BIH","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BIH","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BLR","SP.POP.TOTL","Data sources : National Statistical Committee of the Republic of Belarus",
"BLR","SP.POP.GROW","Data sources: National Statistical Committee of the Republic of Belarus",
"BLZ","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BLZ","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BMU","SP.POP.TOTL","Data sources : Bermuda Government Department of Statistics",
"BMU","SP.POP.GROW","Data sources: Bermuda Government Department of Statistics",
"BOL","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BOL","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BRA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BRA","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BRB","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BRB","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BRN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BRN","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BTN","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BTN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BWA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BWA","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"CAF","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"CAF","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"CAN","SP.POP.TOTL","Data sources : Statistics Canada",
"CAN","SP.POP.GROW","Data sources: Statistics Canada",
"CHE","SP.POP.GROW","Data sources : Eurostat",
"CHE","SP.POP.TOTL","Data sources : Eurostat",
"CHI","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"CHI","SP.POP.0014.TO.ZS","Refers to Guernsey, and Jersey.",
"CHI","SP.POP.1564.TO.ZS","Refers to Guernsey, and Jersey.",
"CHI","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"CHI","SP.POP.TOTL.FE.ZS","Refers to Guernsey, and Jersey.",
"CHI","SP.POP.TOTL.MA.ZS","Refers to Guernsey, and Jersey.",
"CHL","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"CHL","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"CHN","SP.POP.TOTL","Data sources : National Bureau of Statistics",
"CHN","SP.POP.0014.TO.ZS","Excluding Hong Kong SAR, Macao SAR, Taiwan.",
"CHN","SP.POP.1564.TO.ZS","Excluding Hong Kong SAR, Macao SAR, Taiwan.",
"CHN","SP.POP.GROW","Data sources: National Bureau of Statistics",
"CHN","SP.POP.TOTL.MA.ZS","Excluding Hong Kong SAR, Macao SAR, Taiwan.",
"CHN","SP.POP.TOTL.FE.ZS","Excluding Hong Kong SAR, Macao SAR, Taiwan.",
"CIV","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"CIV","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"CMR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"CMR","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"COD","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"COD","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"COG","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"COG","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"COL","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"COL","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"COM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"COM","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"CPV","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"CPV","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"CRI","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"CRI","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"CUB","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"CUB","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"CYM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"CYM","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"CYP","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"CYP","NY.GDP.PCAP.PP.KD","Data are for areas under the effective control of the Government of the Republic of Cyprus.",
"CYP","SP.POP.TOTL.FE.ZS","Including Northern-Cyprus.",
"CYP","SP.POP.TOTL.MA.ZS","Including Northern-Cyprus.",
"CYP","NY.GNP.PCAP.CD","Data are for areas under the effective control of the Government of the Republic of Cyprus.",
"CYP","NY.GNP.PCAP.PP.CD","Data are for areas under the effective control of the Government of the Republic of Cyprus.",
"CYP","SP.POP.0014.TO.ZS","Including Northern-Cyprus.",
"CYP","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"CYP","NY.GDP.PCAP.PP.CD","Data are for areas under the effective control of the Government of the Republic of Cyprus.",
"CYP","SP.POP.1564.TO.ZS","Including Northern-Cyprus.",
"CYP","NY.GDP.PCAP.CD","Data are for areas under the effective control of the Government of the Republic of Cyprus.",
"CYP","NY.GDP.PCAP.KD","Data are for areas under the effective control of the Government of the Republic of Cyprus.",
"CZE","SP.POP.TOTL","Data sources : Eurostat",
"CZE","SP.POP.GROW","Data sources : Eurostat",
"DEU","SP.POP.GROW","Data sources : Eurostat",
"DEU","SP.POP.TOTL","Data sources : Eurostat",
"DJI","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"DJI","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"DMA","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"DMA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"DNK","SP.POP.TOTL","Data sources : Eurostat",
"DNK","SP.POP.GROW","Data sources : Eurostat",
"DOM","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"DOM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"DZA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"DZA","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ECU","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ECU","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"EGY","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"EGY","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ERI","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ERI","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"ERI","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"ERI","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"ERI","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ERI","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"ERI","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"ERI","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"ESP","SP.POP.TOTL","Data sources : Eurostat",
"ESP","SP.POP.GROW","Data sources : Eurostat",
"EST","SP.POP.GROW","Data sources : Eurostat",
"EST","SP.POP.TOTL","Data sources : Eurostat",
"ETH","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ETH","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"FIN","SP.POP.GROW","Data sources : Eurostat",
"FIN","SP.POP.TOTL","Data sources : Eurostat",
"FJI","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"FJI","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"FRA","SP.POP.GROW","Data sources: Eurostat, United Nations World Population Prospects. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Mayotte, and Réunion.",
"FRA","SP.POP.TOTL.MA.ZS","Including the four French overseas departments (French Guyana, Guadeloupe, Martinique and Réunion)",
"FRA","SP.POP.TOTL.FE.ZS","Including the four French overseas departments (French Guyana, Guadeloupe, Martinique and Réunion)",
"FRA","SP.POP.TOTL","Data sources : Eurostat, United Nations World Population Prospects. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Mayotte, and Réunion.",
"FRA","SP.POP.0014.TO.ZS","Including the four French overseas departments (French Guyana, Guadeloupe, Martinique and Réunion)",
"FRA","SP.POP.1564.TO.ZS","Including the four French overseas departments (French Guyana, Guadeloupe, Martinique and Réunion)",
"FRO","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"FRO","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"FSM","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"FSM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GAB","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GAB","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"GBR","SP.POP.GROW","Data sources: Eurostat",
"GBR","SP.POP.TOTL","Data sources : Eurostat",
"GEO","SP.POP.TOTL","Data sources : GeoStats. GeoStats. Adjusted to mid-year population using geometric mean for the years where mid-year population figures are not available. Excluding Abkhazia and South Ossetia.",
"GEO","SP.POP.0014.TO.ZS","Including Abkhazia and South Ossetia.",
"GEO","NY.GDP.PCAP.PP.CD","Excludes Abkhazia and South Ossetia.",
"GEO","SP.POP.1564.MA.IN","Derived using ratio of age group from WPP and World Bank population.",
"GEO","SP.POP.0014.TO","Derived using ratio of age group from WPP and World Bank population.",
"GEO","SP.POP.1564.TO.ZS","Including Abkhazia and South Ossetia.",
"GEO","NY.GDP.PCAP.KD","Excludes Abkhazia and South Ossetia.",
"GEO","SP.POP.1564.TO","Derived using ratio of age group from WPP and World Bank population.",
"GEO","SP.POP.1564.FE.IN","Derived using ratio of age group from WPP and World Bank population.",
"GEO","NY.GDP.PCAP.CD","Excludes Abkhazia and South Ossetia.",
"GEO","SP.POP.GROW","Data sources: GeoStats. GeoStats. Adjusted to mid-year population using geometric mean for the years where mid-year population figures are not available. Excluding Abkhazia and South Ossetia.",
"GEO","SP.POP.0014.MA.IN","Derived using ratio of age group from WPP and World Bank population.",
"GEO","NY.GDP.PCAP.PP.KD","Excludes Abkhazia and South Ossetia.",
"GEO","SP.POP.TOTL.FE.ZS","Excluding Abkhazia and South Ossetia.",
"GEO","SP.POP.0014.FE.IN","Derived using ratio of age group from WPP and World Bank population.",
"GEO","SP.POP.TOTL.MA.ZS","Excluding Abkhazia and South Ossetia.",
"GEO","NY.GNP.PCAP.CD","Excludes Abkhazia and South Ossetia.",
"GEO","NY.GNP.PCAP.PP.CD","Excludes Abkhazia and South Ossetia.",
"GHA","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"GHA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GIB","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GIB","SP.POP.GROW","Data sources : United Nations World Population Prospects",
"GIN","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"GIN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GMB","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GMB","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"GNB","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"GNB","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GNQ","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GNQ","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"GRC","SP.POP.GROW","Data sources : Eurostat",
"GRC","SP.POP.TOTL","Data sources : Eurostat",
"GRD","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GRD","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"GRL","SP.POP.GROW","Data sources: Statistics Greenland",
"GRL","SP.POP.TOTL","Data sources : Statistics Greenland",
"GTM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GTM","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"GUM","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"GUM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GUY","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GUY","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"GUY","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"GUY","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"GUY","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"GUY","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"GUY","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"GUY","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"HKG","SP.POP.GROW","Data sources: Census and Statistics Department",
"HKG","SP.POP.TOTL","Data sources : Census and Statistics Department",
"HND","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"HND","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"HRV","SP.POP.GROW","Data sources: Croatian Bureau of Statistics, Council of Europe",
"HRV","SP.POP.TOTL","Data sources : Croatian Bureau of Statistics, Council of Europe",
"HTI","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"HTI","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"HUN","SP.POP.GROW","Data sources : Eurostat",
"HUN","SP.POP.TOTL","Data sources : Eurostat",
"IDN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"IDN","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"IMN","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"IMN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"IND","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"IND","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"IRL","SP.POP.GROW","Data sources : Eurostat",
"IRL","SP.POP.TOTL","Data sources : Eurostat",
"IRN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"IRN","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"IRQ","SP.POP.GROW","Data sources : United Nations World Population Prospects",
"IRQ","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ISL","SP.POP.TOTL","Data sources : Eurostat",
