"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"BAR.NOED.1519.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 15-19 with no education","Percentage of female population age 15-19 with no education","Percentage of female population age 15-19 with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.1519.ZS","Attainment","Barro-Lee: Percentage of population age 15-19 with no education","Percentage of population age 15-19 with no education","Percentage of population age 15-19 with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.15UP.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 15+ with no education","Percentage of female population age 15+ with no education","Percentage of female population age 15+ with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.15UP.ZS","Attainment","Barro-Lee: Percentage of population age 15+ with no education","Percentage of population age 15+ with no education","Percentage of population age 15+ with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.2024.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 20-24 with no education","Percentage of female population age 20-24 with no education","Percentage of female population age 20-24 with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.2024.ZS","Attainment","Barro-Lee: Percentage of population age 20-24 with no education","Percentage of population age 20-24 with no education","Percentage of population age 20-24 with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.2529.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 25-29 with no education","Percentage of female population age 25-29 with no education","Percentage of female population age 25-29 with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.2529.ZS","Attainment","Barro-Lee: Percentage of population age 25-29 with no education","Percentage of population age 25-29 with no education","Percentage of population age 25-29 with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.25UP.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 25+ with no education","Percentage of female population age 25+ with no education","Percentage of female population age 25+ with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.25UP.ZS","Attainment","Barro-Lee: Percentage of population age 25+ with no education","Percentage of population age 25+ with no education","Percentage of population age 25+ with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.NOED.3034.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 30-34 with no education","Percentage of female population age 30-34 with no education","Percentage of female population age 30-34 with no education","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
