"Country Code","Short Name","Table Name","Long Name","2-alpha code","Currency Unit","Special Notes","Region","Income Group","WB-2 code","National accounts base year","National accounts reference year","SNA price valuation","Lending category","Other groups","System of National Accounts","Alternative conversion factor","PPP survey year","Balance of Payments Manual in use","External debt Reporting status","System of trade","Government Accounting concept","IMF data dissemination standard","Latest population census","Latest household survey","Source of most recent Income and expenditure data","Vital registration complete","Latest agricultural census","Latest industrial data","Latest trade data","Latest water withdrawal data",
"ABW","Aruba","Aruba","Aruba","AW","Aruban florin","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.","Latin America & Caribbean","High income: nonOECD","AW","2000","","Value added at basic prices (VAB)","","","Country uses the 1993 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","","Special trade system","","","2010","","","Yes","","","2012","",
"AFG","Afghanistan","Afghanistan","Islamic State of Afghanistan","AF","Afghan afghani","Fiscal year end: March 20; reporting period for national accounts data: FY (from 2013 are CY). National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.","South Asia","Low income","AF","2002/03","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology.","","","","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","1979","Multiple Indicator Cluster Survey (MICS), 2010/11","Integrated household survey (IHS), 2008","","2013/14","","2012","2000",
"AGO","Angola","Angola","People's Republic of Angola","AO","Angolan kwanza","April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2002.","Sub-Saharan Africa","Upper middle income","AO","2002","","Value added at producer prices (VAP)","IBRD","","Country uses the 1993 System of National Accounts methodology.","1991–96","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","1970","Malaria Indicator Survey (MIS), 2011","Integrated household survey (IHS), 2008","","2015","","","2005",
"ALB","Albania","Albania","Republic of Albania","AL","Albanian lek","","Europe & Central Asia","Upper middle income","AL","Original chained constant price data are rescaled.","1996","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2011","Demographic and Health Survey (DHS), 2008/09","Living Standards Measurement Study Survey (LSMS), 2012","Yes","2012","2010","2012","2006",
"AND","Andorra","Andorra","Principality of Andorra","AD","Euro","","Europe & Central Asia","High income: nonOECD","AD","1990","","","","","Country uses the 1968 System of National Accounts methodology.","","","","","Special trade system","","","2011. Population figures compiled from administrative registers.","","","Yes","","","2006","",
"ARB","Arab World","Arab World","Arab World","1A","","Arab World aggregate. Arab World is composed of members of the League of Arab States.","","","1A","","","","","","","","","","","","","","","","","","","","","",
"ARE","United Arab Emirates","United Arab Emirates","United Arab Emirates","AE","U.A.E. dirham","April 2013 database update: Based on data from the National Bureau of Statistics, national accounts data were revised for 2001 onward; the base year changed to 2007.","Middle East & North Africa","High income: nonOECD","AE","2007","","Value added at producer prices (VAP)","","","Country uses the 1993 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","2010","","","","2012","","2011","2005",
"ARG","Argentina","Argentina","Argentine Republic","AR","Argentine peso","","Latin America & Caribbean","Upper middle income","AR","2004","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","1971–84","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2010","Multiple Indicator Cluster Survey (MICS), 2011/12","Integrated household survey (IHS), 2012","Yes","2013","2002","2012","2000",
"ARM","Armenia","Armenia","Republic of Armenia","AM","Armenian dram","","Europe & Central Asia","Lower middle income","AM","Original chained constant price data are rescaled.","1996","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","1990–95","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","Demographic and Health Survey (DHS), 2010","Integrated household survey (IHS), 2012","Yes","2013/14","","2012","2007",
"ASM","American Samoa","American Samoa","American Samoa","AS","U.S. dollar","","East Asia & Pacific","Upper middle income","AS","","","","","","Country uses the 1968 System of National Accounts methodology.","","","","","Special trade system","","","2010","","","Yes","2007","","","",
"ATG","Antigua and Barbuda","Antigua and Barbuda","Antigua and Barbuda","AG","East Caribbean dollar","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.","Latin America & Caribbean","High income: nonOECD","AG","2006","","Value added at basic prices (VAB)","IBRD","","Country uses the 1968 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2011","","","Yes","2007","","2012","2005",
"AUS","Australia","Australia","Commonwealth of Australia","AU","Australian dollar","Fiscal year end: June 30; reporting period for national accounts data: FY. Value added current series updated by the Australian Bureau of Statistics; data revised from 1990 onward; Australia reports using SNA 2008.","East Asia & Pacific","High income: OECD","AU","Original chained constant price data are rescaled.","2012","Value added at basic prices (VAB)","","","Country uses the 2008 System of National Accounts methodology.","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","","Expenditure survey/budget survey (ES/BS), 1994","Yes","2011","2010","2012","2000",
