,BuildingType,PrimaryPropertyType,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,SteamUse_Rate,Electricity_Rate,NaturalGas_Rate,GFABuildingRate,GFAParkingRate,GFALargestPropertyUseRate,TotalUseTypeNumber,BuildingAge
0,1,2,3,47.6122,-122.33799,0.6931471805599453,2.5649493574615367,11.390023097868895,8,4.110873864173311,7226362.5,249.98,0.24474847506659408,0.54606,0.17664,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,89
1,1,2,3,47.61317,-122.33393,0.6931471805599453,2.4849066497880004,11.547974025246633,8,4.127134385045092,8387933.0,295.86,0.0,0.38661,0.61339,0.6176420790291887,0.13579757289721997,0.5932826454059068,1.3862943611198906,20
2,1,2,3,47.61393,-122.3381,0.6931471805599453,3.7376696182833684,13.770629294080045,8,3.784189633918261,72587024.0,2089.28,0.2601387128405929,0.68231,0.02058,0.5845871073280442,0.1871017799669442,0.5828969519390449,0.6931471805599453,47
3,1,2,3,47.61412,-122.33664,0.6931471805599453,2.3978952727983707,11.023877640745798,8,4.04305126783455,6794584.0,286.43,0.28209901615700644,0.40752,0.26657,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,90
4,1,2,3,47.61375,-122.34047,0.6931471805599453,2.9444389791664403,12.075855753873482,8,4.330733340286331,14172606.0,505.01,0.0,0.3788,0.6212,0.49888258879611225,0.3024130370517751,0.5324325047700413,1.3862943611198906,36
5,2,10,3,47.61623,-122.33657,0.6931471805599453,1.0986122886681098,11.48544120936798,11,,12086616.0,301.81,0.0,0.60988,0.39012,0.4809744787964748,0.32378494943205927,0.6487040543154546,0.6931471805599453,17
6,1,2,3,47.6139,-122.33283,0.6931471805599453,2.4849066497880004,11.326704314635162,8,3.332204510175204,5758795.0,176.14,0.0,0.48816,0.51184,0.6931471805599453,0.0,0.6831220969128567,0.6931471805599453,90
7,1,10,3,47.61327,-122.33136,0.6931471805599453,2.1972245773362196,11.540170913860424,21,,6298131.5,221.51,0.3085282726833181,0.57742,0.06116,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,90
8,1,2,3,47.60294,-122.33263,0.6931471805599453,2.772588722239781,12.007530239208668,8,3.784189633918261,13723820.0,392.16,0.0,0.53177,0.46823,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,112
10,1,2,3,47.60695,-122.33414,0.6931471805599453,2.4849066497880004,11.9392645217297,8,3.4339872044851463,16016644.0,691.26,0.28290568364644014,0.38632,0.28669,0.6281445517410634,0.11855607012156778,0.6281445517410634,0.6931471805599453,47
